medidor,mes_dt,criterio,valor,kwh,kwh_prev
10.1.1,2025-03-01,robust_z,4.688533328069015,291.0,257.0
10.6.1,2025-03-01,robust_z,-6.55219594920121,62.0,85.0
100.15.2,2025-03-01,robust_z,5.7546977563854185,287.0,423.0
100.2501,2025-03-01,cambio_abrupto,-0.8571428571428571,1.0,7.0
100.9,2025-03-01,cambio_abrupto,-0.6212471131639723,164.0,433.0
100.9,2025-03-01,robust_z,9.68376018962826,164.0,433.0
101.11,2025-03-01,robust_z,4.108261898630171,212.0,320.0
101.13.1,2025-03-01,robust_z,4.676469265704394,113.0,136.0
101.8,2025-03-01,cambio_abrupto,-1.0,0.0,8.0
102.3192.1.20,2025-03-01,robust_z,11.711612278184518,135.0,80.0
102.3192.1.30,2025-03-01,cambio_abrupto,4.25,168.0,32.0
102.9.1,2025-03-01,cambio_abrupto,-0.5503875968992248,58.0,129.0
103.1,2025-03-01,robust_z,5.465700981965513,298.0,407.0
103.1.1.1,2025-03-01,cambio_abrupto,-0.7290722632959695,1136.0,4193.0
103.3,2025-03-01,cambio_abrupto,-0.5159420289855072,334.0,690.0
103.4.3132,2025-03-01,cambio_abrupto,-0.5143160127253447,458.0,943.0
104.10..4591,2025-03-01,cambio_abrupto,-1.0,0.0,5.0
104.12,2025-03-01,robust_z,5.283510949233329,380.0,490.0
104.2..3123,2025-03-01,cambio_abrupto,-0.503584229390681,277.0,558.0
104.3124.1,2025-03-01,robust_z,5.7800110916258225,1313.0,989.0
104.3132.8,2025-03-01,robust_z,4.271774810018437,239.0,249.0
104.8.2,2025-03-01,robust_z,5.56454876568191,219.0,326.0
104.9,2025-03-01,cambio_abrupto,-0.8,2.0,10.0
105.1,2025-03-01,cambio_abrupto,-0.6345514950166113,110.0,301.0
105.1,2025-03-01,robust_z,29.17172534736274,110.0,301.0
105.2,2025-03-01,cambio_abrupto,-1.0,0.0,1.0
105.2,2025-03-01,robust_z,-4.046944556859572,0.0,1.0
105.2686.3,2025-03-01,robust_z,4.184129118109048,334.0,371.0
105.5,2025-03-01,cambio_abrupto,-1.0,0.0,1.0
105.6.1,2025-03-01,robust_z,5.492281898595133,155.0,243.0
105.7.6,2025-03-01,robust_z,4.108261898630171,287.0,457.0
105.7.7,2025-03-01,cambio_abrupto,13.0,126.0,9.0
105.7.7,2025-03-01,robust_z,16.322676379333604,126.0,9.0
106.13,2025-03-01,robust_z,5.19064627945032,197.0,148.0
106.14.2478,2025-03-01,robust_z,6.45076876732503,1407.0,1214.0
106.2476.5,2025-03-01,robust_z,4.721435316336167,197.0,244.0
106.3,2025-03-01,robust_z,4.046944556859571,287.0,413.0
106.3176.7.20,2025-03-01,cambio_abrupto,-0.5833333333333334,5.0,12.0
106.3176.8.10,2025-03-01,cambio_abrupto,-0.9090909090909091,1.0,11.0
106.5,2025-03-01,robust_z,4.476165949253768,173.0,246.0
107..2704,2025-03-01,robust_z,4.098828461434694,223.0,185.0
107.12,2025-03-01,robust_z,5.0225472625310745,342.0,495.0
107.13,2025-03-01,cambio_abrupto,-0.6666666666666666,5.0,15.0
107.4,2025-03-01,robust_z,4.58049694868434,365.0,465.0
108.2706.6,2025-03-01,robust_z,12.073384594631055,162.0,134.0
11.1.1,2025-03-01,robust_z,5.722292572333695,207.0,281.0
11.2,2025-03-01,cambio_abrupto,2.8,19.0,5.0
11.2.3290,2025-03-01,robust_z,4.221006688337402,370.0,408.0
11.2937.8.10,2025-03-01,robust_z,18.21125050586807,297.0,386.0
11.2937.8.12,2025-03-01,robust_z,4.683963607476356,111.0,173.0
11.3298.7.40,2025-03-01,robust_z,4.039101641051704,387.0,406.0
11.7098.4,2025-03-01,cambio_abrupto,-1.0,0.0,5332.0
110.2529.5.32,2025-03-01,robust_z,20.48765681910158,252.0,301.0
1100...4396,2025-03-01,robust_z,8.201807635235397,231.0,429.0
1100.1.101,2025-03-01,cambio_abrupto,2.5459686540636612,21946.0,6189.0
1100.1.101,2025-03-01,robust_z,6.931974212383332,21946.0,6189.0
1100.1.106,2025-03-01,robust_z,4.893453093920801,900.0,372.0
1100.1.117,2025-03-01,cambio_abrupto,-0.5965834428383706,307.0,761.0
1100.1.130.8,2025-03-01,cambio_abrupto,-0.83,34.0,200.0
1100.1.131.5,2025-03-01,cambio_abrupto,-0.9764705882352941,2.0,85.0
1100.1.133.1,2025-03-01,cambio_abrupto,5.174496644295302,1840.0,298.0
1100.1.134,2025-03-01,cambio_abrupto,-0.5508654722137868,1479.0,3293.0
1100.1.138,2025-03-01,cambio_abrupto,2.490322580645161,1082.0,310.0
1100.1.159,2025-03-01,robust_z,6.239039525158506,680.0,0.0
1100.1.166,2025-03-01,cambio_abrupto,-0.5073891625615764,100.0,203.0
1100.1.170.2,2025-03-01,cambio_abrupto,-0.5277777777777778,85.0,180.0
1100.1.210,2025-03-01,cambio_abrupto,-0.5660377358490566,299.0,689.0
1100.1.235,2025-03-01,cambio_abrupto,-0.9363636363636364,7.0,110.0
1100.1.295,2025-03-01,robust_z,4.271774810018437,450.0,410.0
1100.1.296,2025-03-01,cambio_abrupto,-0.7867647058823529,87.0,408.0
1100.1.307,2025-03-01,cambio_abrupto,-0.625,6.0,16.0
1100.1.313,2025-03-01,cambio_abrupto,-1.0,0.0,3.0
1100.1.328,2025-03-01,cambio_abrupto,2.090909090909091,102.0,33.0
1100.1.371,2025-03-01,cambio_abrupto,7.715596330275229,1900.0,218.0
1100.1.403,2025-03-01,robust_z,68.63746442864209,1079.0,0.0
1100.1.404,2025-03-01,cambio_abrupto,-0.6813186813186813,290.0,910.0
1100.1.407,2025-03-01,cambio_abrupto,-1.0,0.0,300.0
1100.1.4306,2025-03-01,robust_z,5.240274362087394,142.0,162.0
1100.1.435.5,2025-03-01,cambio_abrupto,-1.0,0.0,1.0
1100.1.490,2025-03-01,cambio_abrupto,-0.5548780487804879,146.0,328.0
1100.1.493.7,2025-03-01,cambio_abrupto,13.806451612903226,459.0,31.0
1100.1.494,2025-03-01,robust_z,-8.43113449345744,0.0,0.0
1100.1.5,2025-03-01,cambio_abrupto,-1.0,0.0,395.0
1100.1.509,2025-03-01,cambio_abrupto,-1.0,0.0,600.0
1100.1.514,2025-03-01,cambio_abrupto,-1.0,0.0,1200.0
1100.1.61,2025-03-01,cambio_abrupto,-0.5892857142857143,46.0,112.0
1100.1.6356,2025-03-01,cambio_abrupto,2.0,150.0,50.0
1100.1.68,2025-03-01,cambio_abrupto,-1.0,0.0,500.0
1100.1.69,2025-03-01,cambio_abrupto,2.5274725274725274,321.0,91.0
1100.1.7,2025-03-01,cambio_abrupto,-0.5363214837712519,300.0,647.0
1100.1.7,2025-03-01,robust_z,-4.79986447441484,300.0,647.0
1100.1.78,2025-03-01,cambio_abrupto,-0.882,59.0,500.0
1100.1.95.9,2025-03-01,cambio_abrupto,5.78,339.0,50.0
1100.1.95.9,2025-03-01,robust_z,20.51871889355116,339.0,50.0
1100.1.96,2025-03-01,cambio_abrupto,-0.6111111111111112,7.0,18.0
